,CarName,fueltype,aspiration,carbody,drivewheel,enginelocation,enginetype,fuelsystem,doornumber,cylindernumber,symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
156,toyota mark ii,gas,std,sedan,fwd,front,ohc,2bbl,four,four,0,95.7,166.3,64.4,53.0,2081,98,3.19,3.03,9.0,70,4800,30,37,6938.0
157,toyota corolla 1200,gas,std,hatchback,fwd,front,ohc,2bbl,four,four,0,95.7,166.3,64.4,52.8,2109,98,3.19,3.03,9.0,70,4800,30,37,7198.0
158,toyota corona,diesel,std,sedan,fwd,front,ohc,idi,four,four,0,95.7,166.3,64.4,53.0,2275,110,3.27,3.35,22.5,56,4500,34,36,7898.0
159,toyota corolla,diesel,std,hatchback,fwd,front,ohc,idi,four,four,0,95.7,166.3,64.4,52.8,2275,110,3.27,3.35,22.5,56,4500,38,47,7788.0
160,toyota corona,gas,std,sedan,fwd,front,ohc,2bbl,four,four,0,95.7,166.3,64.4,53.0,2094,98,3.19,3.03,9.0,70,4800,38,47,7738.0
161,toyota corolla,gas,std,hatchback,fwd,front,ohc,2bbl,four,four,0,95.7,166.3,64.4,52.8,2122,98,3.19,3.03,9.0,70,4800,28,34,8358.0
162,toyota mark ii,gas,std,sedan,fwd,front,ohc,2bbl,four,four,0,95.7,166.3,64.4,52.8,2140,98,3.19,3.03,9.0,70,4800,28,34,9258.0
163,toyota corolla liftback,gas,std,sedan,rwd,front,ohc,2bbl,two,four,1,94.5,168.7,64.0,52.6,2169,98,3.19,3.03,9.0,70,4800,29,34,8058.0
164,toyota corona,gas,std,hatchback,rwd,front,ohc,2bbl,two,four,1,94.5,168.7,64.0,52.6,2204,98,3.19,3.03,9.0,70,4800,29,34,8238.0
165,toyota celica gt liftback,gas,std,sedan,rwd,front,dohc,mpfi,two,four,1,94.5,168.7,64.0,52.6,2265,98,3.24,3.08,9.4,112,6600,26,29,9298.0
166,toyota corolla tercel,gas,std,hatchback,rwd,front,dohc,mpfi,two,four,1,94.5,168.7,64.0,52.6,2300,98,3.24,3.08,9.4,112,6600,26,29,9538.0
167,toyota corona liftback,gas,std,hardtop,rwd,front,ohc,mpfi,two,four,2,98.4,176.2,65.6,52.0,2540,146,3.62,3.5,9.3,116,4800,24,30,8449.0
168,toyota corolla,gas,std,hardtop,rwd,front,ohc,mpfi,two,four,2,98.4,176.2,65.6,52.0,2536,146,3.62,3.5,9.3,116,4800,24,30,9639.0
169,toyota starlet,gas,std,hatchback,rwd,front,ohc,mpfi,two,four,2,98.4,176.2,65.6,52.0,2551,146,3.62,3.5,9.3,116,4800,24,30,9989.0
170,toyota tercel,gas,std,hardtop,rwd,front,ohc,mpfi,two,four,2,98.4,176.2,65.6,52.0,2679,146,3.62,3.5,9.3,116,4800,24,30,11199.0
171,toyota corolla,gas,std,hatchback,rwd,front,ohc,mpfi,two,four,2,98.4,176.2,65.6,52.0,2714,146,3.62,3.5,9.3,116,4800,24,30,11549.0
172,toyota cressida,gas,std,convertible,rwd,front,ohc,mpfi,two,four,2,98.4,176.2,65.6,53.0,2975,146,3.62,3.5,9.3,116,4800,24,30,17669.0
173,toyota corolla,gas,std,sedan,fwd,front,ohc,mpfi,four,four,-1,102.4,175.6,66.5,54.9,2326,122,3.31,3.54,8.7,92,4200,29,34,8948.0
174,toyota celica gt,diesel,turbo,sedan,fwd,front,ohc,idi,four,four,-1,102.4,175.6,66.5,54.9,2480,110,3.27,3.35,22.5,73,4500,30,33,10698.0
175,toyota corona,gas,std,hatchback,fwd,front,ohc,mpfi,four,four,-1,102.4,175.6,66.5,53.9,2414,122,3.31,3.54,8.7,92,4200,27,32,9988.0
176,toyota corolla,gas,std,sedan,fwd,front,ohc,mpfi,four,four,-1,102.4,175.6,66.5,54.9,2414,122,3.31,3.54,8.7,92,4200,27,32,10898.0
177,toyota mark ii,gas,std,hatchback,fwd,front,ohc,mpfi,four,four,-1,102.4,175.6,66.5,53.9,2458,122,3.31,3.54,8.7,92,4200,27,32,11248.0
178,toyota corolla liftback,gas,std,hatchback,rwd,front,dohc,mpfi,two,six,3,102.9,183.5,67.7,52.0,2976,171,3.27,3.35,9.3,161,5200,20,24,16558.0
179,toyota corona,gas,std,hatchback,rwd,front,dohc,mpfi,two,six,3,102.9,183.5,67.7,52.0,3016,171,3.27,3.35,9.3,161,5200,19,24,15998.0
180,toyota starlet,gas,std,sedan,rwd,front,dohc,mpfi,four,six,-1,104.5,187.8,66.5,54.1,3131,171,3.27,3.35,9.2,156,5200,20,24,15690.0
181,toyouta tercel,gas,std,wagon,rwd,front,dohc,mpfi,four,six,-1,104.5,187.8,66.5,54.1,3151,161,3.27,3.35,9.2,156,5200,19,24,15750.0
182,vokswagen rabbit,diesel,std,sedan,fwd,front,ohc,idi,two,four,2,97.3,171.7,65.5,55.7,2261,97,3.01,3.4,23.0,52,4800,37,46,7775.0
183,volkswagen 1131 deluxe sedan,gas,std,sedan,fwd,front,ohc,mpfi,two,four,2,97.3,171.7,65.5,55.7,2209,109,3.19,3.4,9.0,85,5250,27,34,7975.0
184,volkswagen model 111,diesel,std,sedan,fwd,front,ohc,idi,four,four,2,97.3,171.7,65.5,55.7,2264,97,3.01,3.4,23.0,52,4800,37,46,7995.0
185,volkswagen type 3,gas,std,sedan,fwd,front,ohc,mpfi,four,four,2,97.3,171.7,65.5,55.7,2212,109,3.19,3.4,9.0,85,5250,27,34,8195.0
186,volkswagen 411 (sw),gas,std,sedan,fwd,front,ohc,mpfi,four,four,2,97.3,171.7,65.5,55.7,2275,109,3.19,3.4,9.0,85,5250,27,34,8495.0
187,volkswagen super beetle,diesel,turbo,sedan,fwd,front,ohc,idi,four,four,2,97.3,171.7,65.5,55.7,2319,97,3.01,3.4,23.0,68,4500,37,42,9495.0
188,volkswagen dasher,gas,std,sedan,fwd,front,ohc,mpfi,four,four,2,97.3,171.7,65.5,55.7,2300,109,3.19,3.4,10.0,100,5500,26,32,9995.0
189,vw dasher,gas,std,convertible,fwd,front,ohc,mpfi,two,four,3,94.5,159.3,64.2,55.6,2254,109,3.19,3.4,8.5,90,5500,24,29,11595.0
190,vw rabbit,gas,std,hatchback,fwd,front,ohc,mpfi,two,four,3,94.5,165.7,64.0,51.4,2221,109,3.19,3.4,8.5,90,5500,24,29,9980.0
191,volkswagen rabbit,gas,std,sedan,fwd,front,ohc,mpfi,four,five,0,100.4,180.2,66.9,55.1,2661,136,3.19,3.4,8.5,110,5500,19,24,13295.0
192,volkswagen rabbit custom,diesel,turbo,sedan,fwd,front,ohc,idi,four,four,0,100.4,180.2,66.9,55.1,2579,97,3.01,3.4,23.0,68,4500,33,38,13845.0
193,volkswagen dasher,gas,std,wagon,fwd,front,ohc,mpfi,four,four,0,100.4,183.1,66.9,55.1,2563,109,3.19,3.4,9.0,88,5500,25,31,12290.0
194,volvo 145e (sw),gas,std,sedan,rwd,front,ohc,mpfi,four,four,-2,104.3,188.8,67.2,56.2,2912,141,3.78,3.15,9.5,114,5400,23,28,12940.0
195,volvo 144ea,gas,std,wagon,rwd,front,ohc,mpfi,four,four,-1,104.3,188.8,67.2,57.5,3034,141,3.78,3.15,9.5,114,5400,23,28,13415.0
196,volvo 244dl,gas,std,sedan,rwd,front,ohc,mpfi,four,four,-2,104.3,188.8,67.2,56.2,2935,141,3.78,3.15,9.5,114,5400,24,28,15985.0
197,volvo 245,gas,std,wagon,rwd,front,ohc,mpfi,four,four,-1,104.3,188.8,67.2,57.5,3042,141,3.78,3.15,9.5,114,5400,24,28,16515.0
198,volvo 264gl,gas,turbo,sedan,rwd,front,ohc,mpfi,four,four,-2,104.3,188.8,67.2,56.2,3045,130,3.62,3.15,7.5,162,5100,17,22,18420.0
199,volvo diesel,gas,turbo,wagon,rwd,front,ohc,mpfi,four,four,-1,104.3,188.8,67.2,57.5,3157,130,3.62,3.15,7.5,162,5100,17,22,18950.0
200,volvo 145e (sw),gas,std,sedan,rwd,front,ohc,mpfi,four,four,-1,109.1,188.8,68.9,55.5,2952,141,3.78,3.15,9.5,114,5400,23,28,16845.0
201,volvo 144ea,gas,turbo,sedan,rwd,front,ohc,mpfi,four,four,-1,109.1,188.8,68.8,55.5,3049,141,3.78,3.15,8.7,160,5300,19,25,19045.0
202,volvo 244dl,gas,std,sedan,rwd,front,ohcv,mpfi,four,six,-1,109.1,188.8,68.9,55.5,3012,173,3.58,2.87,8.8,134,5500,18,23,21485.0
203,volvo 246,diesel,turbo,sedan,rwd,front,ohc,idi,four,six,-1,109.1,188.8,68.9,55.5,3217,145,3.01,3.4,23.0,106,4800,26,27,22470.0
204,volvo 264gl,gas,turbo,sedan,rwd,front,ohc,mpfi,four,four,-1,109.1,188.8,68.9,55.5,3062,141,3.78,3.15,9.5,114,5400,19,25,22625.0
